rank,story_id,title,main_category,subcategory,book_title,author,version,readiness,hook,emotion,share,save,voice,arc,video,trust,total,decision,recommended_format,reason,fact_check_note
595,1090,Build-Measure-Learn döngüsü,Verimlilik,Girişimcilik,Büyük Sıçrayış,Eric Ries,1,Temel,12,6,9,13,8,6,13,2,69,Düşük öncelik,Carousel,Andon ipi güçlü bir açılış; Toyota'dan döngüye doğrudan soy bağı ve bazı genellemeler teyit istiyor.,Kaynak kontrolü şart
596,1353,İkiz döngüsü — kazanma ve öğrenme,Sağlık,Alışkanlıklar,Bir Sonraki Seviye,Robin Sharma,1,Temel,10,6,9,13,9,6,13,3,69,Düşük öncelik,Carousel,"Kazanma ve öğrenme günlüğü yararlı bir rutin; somut kişi, olay ve sürpriz olmadığından anlatı enerjisi düşük.",Kaynak kontrolü şart
597,1384,Küçük sağlık kazanımlarının bileşimi,Sağlık,Sağlık,Sağlıklı Olmak,James Clear,1,Temel,10,7,9,13,8,6,13,3,69,Düşük öncelik,Carousel,Bir bardak su gibi küçük adım uygulanabilir; somut karakter ve özgün olay olmadığı için hikâye zayıf.,Kaynak kontrolü şart
598,1391,Hedefin altı P'si,Liderlik,Hedefler,Hedeflere Ulaşmak,Brian Tracy,1,Temel,11,6,9,14,8,6,13,2,69,Düşük öncelik,Carousel,Altı P pratik bir kontrol listesi; şimdiki zamanın beyni programladığı ve başarıyı kaçınılmaz kıldığı iddiası zayıf.,Kaynak kontrolü şart
599,1126,"Soyut lider mi, somut lider mi?",Liderlik,Liderlik,Liderlik Sanatı,Simon Sinek,1,Temel,11,7,9,12,9,5,12,4,69,Düşük öncelik,Carousel,"Unvan ve davranış ayrımı yararlı, ancak olay örgüsü ve özgün sürpriz az; daha çok kısa bir liderlik dersi.",Kaynak kontrolü önerilir
600,1159,Ortak zemin yaratma sanatı,İletişim,İletişim,Dürüst Konuşmak,Kerry Patterson,1,Temel,11,7,8,13,10,5,11,4,69,Düşük öncelik,Carousel,Ortak amaç cümlesi zor konuşmalar için kaydedilir; hikâye ve özgün görsel sahne bulunmuyor.,Kaynak kontrolü önerilir
601,1638,Şefkatin nörobilimi — bağlantı bağımlılığın panzehiri,Finans,Satış,Her Şey Gerçek Olabilir,Gabor Maté,1,Temel,9,9,10,9,7,6,15,3,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü şart
602,1669,Öfkeyi pişirmek — soğutma değil dönüştürme,Psikoloji,Psikoloji,Öfke,Thich Nhat Hanh,1,Temel,9,9,10,7,7,7,15,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
603,1450,Bilinçaltı ve otonom sinir sistemi,Büyüme,Motivasyon,Bilinçaltının Gücü,Joseph Murphy,1,Temel,11,6,10,11,8,6,14,2,68,Düşük öncelik,Carousel,Bilinçaltının bedeni yönetmesi çarpıcıdır; genelleyici bilim iddiaları güven puanını belirgin düşürüyor.,Kaynak kontrolü şart
604,1626,Yeniden ebeveynlik — kendini iyileştirmenin yolu,Psikoloji,Psikoloji,Duygusal Olgunlaşmamış Ebeveynler,Lindsay Gibson,1,Temel,9,7,10,9,7,8,14,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
605,1635,Utanç sarmalı — DEHB ve kimlik yarası,Psikoloji,Psikoloji,Dağınık Beyin,Gabor Maté,1,Temel,9,9,10,9,7,7,14,3,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü şart
606,1646,Kutup yıldızı değerleri — kalabalığa rağmen yolunu bulmak,Psikoloji,Nörobilim,Çölde Yürümek,Brené Brown,1,Temel,9,7,10,10,7,7,14,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
607,1652,Günlük hayatta akış — sıradan anların dönüşümü,Psikoloji,Psikoloji,Akış Bulmak,Mihaly Csikszentmihalyi,1,Temel,9,7,10,9,7,8,14,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
608,1667,Öfkeli bir mektup göndermemek — duyguya alan tanımak,Psikoloji,Farkındalık,İçsel Barış,Thich Nhat Hanh,1,Temel,9,8,10,9,7,7,14,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
609,1673,Dikkat artığı — taşınan zihin maliyeti,Verimlilik,Verimlilik,Konsantrasyon Gücü,CNewport,1,Temel,10,7,10,9,7,6,14,5,68,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
610,1677,Yüzde bir daha iyi — bileşik büyümenin alışkanlık versiyonu,Liderlik,Yönetim,Başarılı Değişim,James Clear,1,Temel,10,6,10,10,6,7,14,5,68,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik geliştirilmeli.,Standart doğrulama
611,1681,İnternet ve derin okuma — kaybedilen bir beceri,Bilim,Teknoloji,The Shallows,Nicholas Carr,1,Temel,10,7,10,10,7,7,14,3,68,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; paylaşılabilirlik geliştirilmeli.,Kaynak kontrolü şart
612,1688,Bilişsel ayrışma — düşüncelerden mesafe almanın ACT yöntemi,Psikoloji,Psikoloji,Psikolojik Esneklik,Russ Harris,1,Temel,9,8,10,10,7,6,14,4,68,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
613,1189,Büyük İskender'in hareketsizliği,Felsefe,Felsefe,Stillness Is the Key,Ryan Holiday,1,Temel,13,7,9,9,9,6,14,1,68,Düşük öncelik,Kart testi,Sessiz bekleyişten ezici hamleye geçiş sinematik; İskender örneği olay ve kaynak olmadan soyut kalıyor.,Kaynak kontrolü şart
614,1485,Lider davranışı ve güvenlik iklimi,Liderlik,Yönetim,The Fearless Organization,Amy Edmondson,1,Temel,10,5,10,14,7,5,13,4,68,Düşük öncelik,Carousel,Liderin küçük tepkilerinin kültürü şekillendirmesi uygulanabilir; gözlem soruları sesli not kullanımını destekler.,Kaynak kontrolü önerilir
615,1488,Odaklanmanın gerçek düşmanları,Verimlilik,Verimlilik,Çalınan Dikkat,Johann Hari,1,Temel,10,4,10,15,7,5,13,4,68,Düşük öncelik,Carousel,Odağın üç düşmanı pratik ve kaydetmelik; liste formatı güçlü duygu ve özgün hikâye etkisini azaltıyor.,Kaynak kontrolü önerilir
616,1495,Zayıfları düzeltmek değil güçlüleri geliştirmek,Finans,Kariyer,Güçlü Yönler Bulma,Marcus Buckingham,1,Temel,10,5,10,14,7,5,13,4,68,Düşük öncelik,Carousel,Zayıflık yerine güce yatırım mesajı motive eder ve kaydedilir; daha özgün bir karakter öyküsüyle güçlenir.,Kaynak kontrolü önerilir
617,1515,Kaynak dağıtımı ve strateji icra uçurumu,Verimlilik,İş Dünyası,Yıkıcı İnovasyon,Clayton Christensen,1,Temel,10,4,10,14,7,5,13,5,68,Düşük öncelik,Carousel,Kaynak dağılımının gerçek strateji olması liderlere net bir teşhis sunuyor; tablo ve örnekle iyi kaydedilir.,Standart doğrulama
618,1557,İş modeli inovasyonu — rakibi taklit etmek değil yeniden tasarlamak,Verimlilik,Girişimcilik,İş Modeli Üretimi,Alexander Osterwalder,1,Temel,10,4,10,14,7,5,13,5,68,Düşük öncelik,Carousel,"IKEA, Nespresso ve Zipcar örnekleri model çeşitlerini öğretir; yoğun bilgi kısa videoda sadeleştirilmeli.",Standart doğrulama
619,1068,İtalyan ressam ve gevşeme paradoksu,Verimlilik,Verimlilik,Şimdi Başla,Neil Fiore,1,Temel,12,7,9,12,8,6,13,1,68,Düşük öncelik,Carousel,Dinlenmeyle gelen fikirler sıcak ve görselleştirilebilir; isimsiz ressam öyküsü kaynak desteği taşımıyor.,Kaynak kontrolü şart
620,1184,Risk asimetrisi ve kayıptan kaçınma,Finans,Finans,Money: Master the Game,Tony Robbins,1,Temel,12,6,9,13,8,5,13,2,68,Düşük öncelik,Carousel,Beşe karşı yüz örneği net; yatırım stratejisi ve kayıptan kaçınma fazla basit reçeteye dönüşüyor.,Kaynak kontrolü şart
621,1186,Bir sayfada bir kitap,Felsefe,Öğrenme,Zihin Haritası,Tony Buzan,1,Temel,12,6,9,14,8,5,13,1,68,Düşük öncelik,Carousel,Bir kitabı tek sayfaya indirmek kaydedilebilir; üç kat hatırlama sonucu kaynak olmadan güven vermiyor.,Kaynak kontrolü şart
622,1227,Geçmiş ve şimdiki an,Felsefe,Felsefe,Cesur Olmak,Ichiro Kishimi,1,Temel,12,8,9,10,9,6,13,1,68,Düşük öncelik,Kart testi,Geçmişe verilen anlam fikri özgürleştirici olabilir; travmayı şimdiki seçim diye sunmak zarar riski taşır.,Kaynak kontrolü şart
623,1259,Çınar ağacı ve fırtına,Felsefe,Felsefe,Stillness Is the Key,Ryan Holiday,1,Temel,10,7,9,11,8,6,13,4,68,Düşük öncelik,Carousel,"Fırtına ve kök metaforu kolay anlaşılır, ancak oldukça tanıdık olduğu için güçlü bir yenilik hissi üretmiyor.",Kaynak kontrolü önerilir
624,1454,Sekiz neşe sütunu,Psikoloji,Mutluluk,Neşeyi Seç,Dalai Lama,1,Temel,9,5,10,15,7,5,12,5,68,Düşük öncelik,Carousel,Neşenin sekiz sütunu çok kaydedilebilir bir çerçeve; liste yapısı videoda özgün hikâye etkisini azaltıyor.,Standart doğrulama
625,1098,Sabit ve büyüme zihniyeti farkı,Psikoloji,Psikoloji,Zihin Gücü,Carol Dweck,1,Temel,11,7,9,14,8,5,12,2,68,Düşük öncelik,Carousel,İki zihniyet ayrımı uygulanabilir; on yıllık takip ve sonuçlar kaynak verilmeden fazla kesin anlatılıyor.,Kaynak kontrolü şart
626,1242,Eleştiri yapmadan değiştirme sanatı,İletişim,İletişim,İkna Sanatı,Dale Carnegie,1,Temel,12,7,9,12,9,5,12,2,68,Düşük öncelik,Carousel,Eleştiri yerine kimliği güçlendirmek yararlı; eleştiri asla işe yaramaz iddiası aşırı ve bağlamdan yoksun.,Kaynak kontrolü şart
627,1651,Akış deneyimi — zamanın eridiği bilinç hali,Psikoloji,Psikoloji,Akış Bulmak,Mihaly Csikszentmihalyi,1,Temel,9,6,10,10,7,6,15,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
628,1690,Öz farkındalık — duygusal zekanın temeli,Psikoloji,Psikoloji,Bütünleşik Zekanın Gücü,Travis Bradberry,1,Temel,10,4,10,11,6,6,15,5,67,Düşük öncelik,Carousel,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
629,1620,Hold me tight anı — yeniden bağlanmanın kapısı,İletişim,İlişkiler,İlişki Psikolojisi,Sue Johnson,1,Temel,9,8,10,8,7,7,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
630,1621,"Üç bağlanma stili — güvenli, kaygılı, kaçıngan",İletişim,İlişkiler,Bağlanma Teorisi,Amir Levine,1,Temel,9,7,10,9,7,7,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
631,1622,Kaçıngan paradoksu — yakınlık isteyen ama uzaklaşan,İletişim,İlişkiler,Bağlanma Teorisi,Amir Levine,1,Temel,9,6,10,10,7,7,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
632,1627,Travmanın dili — sözsüz yaranın kökeni,Psikoloji,Psikoloji,Travma ve İyileşme,Judith Herman,1,Temel,9,9,10,7,7,7,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
633,1631,Stres ve bağışıklık — neden duygular fizyoloji değiştirir,Sağlık,Sağlık,Bedenin Hayır Demesi,Gabor Maté,1,Temel,9,8,10,9,7,7,14,3,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü şart
634,1636,Bağımlılık bir seçim değil — acının dili,Finans,Satış,Her Şey Gerçek Olabilir,Gabor Maté,1,Temel,9,8,10,9,7,6,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
635,1648,Duygu dili — adlandıramadığınızı yönetemezsiniz,Psikoloji,Duygular,Kalbin Haritası,Brené Brown,1,Temel,10,7,10,9,7,5,14,5,67,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
636,1657,Diyet kültürünün reddi — besinleri ahlaki kategoriden çıkarmak,Sağlık,Sağlık,İçgüdüsel Yeme,Evelyn Tribole,1,Temel,9,7,10,10,7,6,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
637,1661,Taahhüt kültürü — seçenekler çağında derinliği bulmak,Felsefe,Felsefe,Yeniden Doğmak,David Brooks,1,Temel,9,9,10,8,7,6,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
638,1665,Şimdiki an — tek gerçek ev,Psikoloji,Farkındalık,Yeni Toprak,Eckhart Tolle,1,Temel,9,8,10,9,7,6,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
639,1679,On dakika — küçük bir pratiğin büyük dönüşümü,Psikoloji,Farkındalık,Yeni Başlayanlar İçin Meditasyon,Andy Puddicombe,1,Temel,9,8,10,9,7,6,14,4,67,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
640,1081,Kıtlık ve sınırlı üretim yanılsaması,Psikoloji,Psikoloji,Influence,Robert Cialdini,1,Temel,12,6,10,12,8,5,13,1,67,Düşük öncelik,Carousel,Son üç ürün mesajı tanıdık ve yararlı; Amazon'a bağlanan satış artışı kanıtsız ve fazla kesin.,Kaynak kontrolü şart
641,1465,TED sahnesindeki üç sır,İletişim,İletişim,Etkileyici Konuşma,Carmine Gallo,1,Temel,10,4,10,14,7,5,13,4,67,Düşük öncelik,Carousel,Üç TED sırrı üreticilere hazır kontrol listesi verir; bilinirliği nedeniyle özgünlük ve duygu orta kalıyor.,Kaynak kontrolü önerilir
642,1554,Sonuçlara odaklanma — ego mu yoksa ekip mi kazansın,Liderlik,Liderlik,The Five Dysfunctions of a Team,Patrick Lencioni,1,Temel,10,4,10,13,7,5,13,5,67,Düşük öncelik,Carousel,Ego yerine takım sonucu mesajı net ve yararlı; özgün olay örgüsü olmadan klasik liderlik tavsiyesi gibi kalıyor.,Standart doğrulama
643,1564,Çizginin altında ya da üstünde — iki liderlik hali,Liderlik,Liderlik,Bilinçli Liderlik,Jim Dethmer,1,Temel,10,4,10,14,7,5,13,4,67,Düşük öncelik,Carousel,Çizginin üstü-altı ayrımı hızlı öz değerlendirme sağlar; iş koçluğu çerçevesi olduğu için kitlesi daha dar.,Kaynak kontrolü önerilir
644,1440,Tükenme ve empatinin bedeli,Psikoloji,Psikoloji,Against Empathy,Paul Bloom,1,Temel,10,6,10,13,7,5,12,4,67,Düşük öncelik,Carousel,Empati yorgunluğu sağlık çalışanlarıyla duygusal bağ kuruyor; çözüm bölümü kaydetmeyi destekliyor.,Kaynak kontrolü önerilir
645,1133,Şimdiki anın kapısı,Psikoloji,Farkındalık,Şimdi ve Burada,Eckhart Tolle,1,Temel,11,7,8,12,9,5,11,4,67,Düşük öncelik,Carousel,Şimdi mesajı evrensel ve sesli düşünmeye açık; somut olay ve yeni bir ters köşe az olduğu için video gücü orta.,Kaynak kontrolü önerilir
646,1362,Topluluk niyeti ve dalgalanma etkisi,Psikoloji,Farkındalık,Niyet,Lynne McTaggart,1,Temel,13,7,11,5,9,6,15,0,66,Düşük öncelik,Kart testi,Ortak niyet sıcak bir topluluk fikri; su kristali ve alan etkisini tekrarlanabilir bilim gibi göstermesi sorunlu.,Kaynak kontrolü şart
647,1645,Gerçek aitlik — onay için değil özgünlük için,Psikoloji,Nörobilim,Çölde Yürümek,Brené Brown,1,Temel,9,7,10,7,7,7,15,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
648,1437,Güven inşası ve ilk izlenim,Finans,Satış,Satışın Psikolojisi,Brian Tracy,1,Temel,10,5,11,10,8,5,14,3,66,Düşük öncelik,Kart testi,Yedi saniyelik ilk izlenim iddiası hızlı video kancası sağlar; bilimsel oran daha sağlam kaynak ister.,Kaynak kontrolü şart
649,1624,Duygusal olgunlaşmamış ebeveyn — sevgi var ama bağ yok,Psikoloji,Psikoloji,Duygusal Olgunlaşmamış Ebeveynler,Lindsay Gibson,1,Temel,9,7,10,10,7,5,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
650,1630,"Bastırılan duygu, beden dili — hastalık mesajın taşıyıcısı",Sağlık,Sağlık,Bedenin Hayır Demesi,Gabor Maté,1,Temel,9,8,10,9,7,6,14,3,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü şart
651,1639,Yeterince iyi olmak — mükemmeliyetçiliğin gerçek bedeli,Büyüme,Kişisel Gelişim,Özgür Olmak 2,Brené Brown,1,Temel,9,7,10,9,7,6,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
652,1641,Minnettarlık ve neşe — en cesur duygular,Büyüme,Kişisel Gelişim,Özgür Olmak 2,Brené Brown,1,Temel,9,7,10,8,7,7,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
653,1642,Arenada olmak — düşme cesareti,Büyüme,Dayanıklılık,Güçlü Kalkmak,Brené Brown,1,Temel,10,6,10,9,7,5,14,5,66,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Standart doğrulama
654,1644,Devrilme ve kalkış — iyileşmenin üç aşaması,Büyüme,Dayanıklılık,Güçlü Kalkmak,Brené Brown,1,Temel,9,7,10,8,7,7,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; ilk saniye etkisi geliştirilmeli.,Kaynak kontrolü önerilir
655,1650,Kin ve öfke — taşınan ağırlıkların farkı,Psikoloji,Duygular,Kalbin Haritası,Brené Brown,1,Temel,9,8,10,9,7,5,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
656,1659,Duygusal yeme — besinden beklenen şey besin veremez,Sağlık,Sağlık,İçgüdüsel Yeme,Evelyn Tribole,1,Temel,9,7,10,10,7,5,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
657,1660,İki dağ — birinci ve ikinci hayat,Felsefe,Felsefe,Yeniden Doğmak,David Brooks,1,Temel,10,7,10,9,7,6,14,3,66,Düşük öncelik,Kart testi,Somut sahne ve sayısal ayrıntı güçlü bir video açılışı sağlıyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü şart
658,1663,Ego ve öz — kimlik yanılsamasının kökü,Psikoloji,Farkındalık,Yeni Toprak,Eckhart Tolle,1,Temel,9,7,10,9,7,6,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
659,1678,Meditasyon yanılgısı — zihnin boşalması değil farkındalık,Psikoloji,Farkındalık,Yeni Başlayanlar İçin Meditasyon,Andy Puddicombe,1,Temel,9,9,10,7,7,6,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
660,1680,Evrimsel beyin ve aldatmaca — neden zihin her zaman yanlış hissedebilir,Psikoloji,Farkındalık,Meditasyonla İyileşme,Robert Wright,1,Temel,8,8,10,10,7,5,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
661,1683,"Üç odak türü — iç, dış ve sistem odağı",Verimlilik,Verimlilik,Dikkatin Gücü,Daniel Goleman,1,Temel,9,6,10,10,7,6,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
662,1684,Dikkat eğitimi — beyin kası olarak odak,Verimlilik,Verimlilik,Dikkatin Gücü,Daniel Goleman,1,Temel,9,6,10,10,7,6,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
663,1686,Değerlere dayalı eylem — duygu değil değer rehberlik eder,Psikoloji,Psikoloji,Duygusal Çeviklik,Susan David,1,Temel,9,7,10,10,7,5,14,4,66,Düşük öncelik,Kart testi,Duygusal karşıtlık paylaşma ve kişisel anlatma isteğini yükseltiyor; olay örgüsü geliştirilmeli.,Kaynak kontrolü önerilir
664,1210,Aklın rahatlama dürtüsü,Büyüme,Motivasyon,Can't Hurt Me,David Goggins,1,Temel,13,7,9,9,8,6,14,0,66,Düşük öncelik,Kart testi,Yüzde kırk duvarı viral bir slogan ama bilimsel temeli yok; bedensel sınırları aşma çağrısı güvenlik riski taşır.,Kaynak kontrolü şart
665,1433,Yüksek hedef kültürü — moonshot düşünce,Liderlik,Yönetim,Büyüme Kültürü,John Doerr,1,Temel,10,4,10,13,7,5,13,4,66,Düşük öncelik,Carousel,Yüzde 70 hedef paradoksu güçlü bir merak açıyor; uygulanabilir OKR özeti kaydetmeye uygun.,Kaynak kontrolü önerilir
666,1443,Zihinsel modeller ve tasarımın gizli dili,Verimlilik,Tasarım,Gündelik Nesneler Tasarımı,Don Norman,1,Temel,10,4,10,13,7,5,13,4,66,Düşük öncelik,Carousel,Zihinsel modeller gündelik yanılgıları açıklıyor; örneklerle iyi bir kaydetmelik seri olabilir.,Kaynak kontrolü önerilir
667,1446,Sadakat ve kârlılığın matematiği,Verimlilik,İş Dünyası,Sadakat Etkisi,Frederick Reichheld,1,Temel,10,4,10,13,7,5,13,4,66,Düşük öncelik,Carousel,Sadakat matematiği somut sonuç vadediyor; sayıların ekranda canlandırılması videoyu güçlendirir.,Kaynak kontrolü önerilir
668,1452,İnanç ve gerçekleşme döngüsü,Büyüme,Motivasyon,Bilinçaltının Gücü,Joseph Murphy,1,Temel,10,5,10,13,7,5,13,3,66,Düşük öncelik,Carousel,İnanç-düşünce-eylem döngüsü sade ve uygulanabilir; bilimsel kesinlik tonu yumuşatılırsa güven artar.,Kaynak kontrolü şart
669,1533,Faydaları açıklamanın paradoksu,Finans,Satış,SPIN Satış,Neil Rackham,1,Temel,10,4,10,13,7,5,13,4,66,Düşük öncelik,Carousel,Özelliği erken anlatma hatası satışçılara tanıdık geliyor; kısa diyalog canlandırmasıyla iyi video olur.,Kaynak kontrolü önerilir
670,1580,Kafa kafaya bilgi — asimetrik bilginin ortadan kalkması,Finans,Satış,Satışın Yeni Yüzü,Daniel Pink,1,Temel,10,4,10,13,7,5,13,4,66,Düşük öncelik,Carousel,Bilgi simetrisinin satışı değiştirmesi güncel ve faydalı; soyut ekonomi dili insani bir örnek gerektiriyor.,Kaynak kontrolü önerilir
671,1252,Einstein'ın görsel düşünme sırrı,Felsefe,Öğrenme,Zihin Haritası,Tony Buzan,1,Temel,12,5,9,12,7,6,13,2,66,Düşük öncelik,Carousel,Einstein sahnesi görsel açıdan güçlü; zihin haritasının kanıtlandığı ve araştırma etkisi iddiaları fazla kesin.,Kaynak kontrolü şart
672,1301,Dünya dört gelir düzeyinde,Felsefe,Düşünme,Akıl Yürütme,Hans Rosling,1,Temel,11,5,9,12,8,6,13,2,66,Düşük öncelik,Carousel,Dört gelir düzeyi ikili dünya algısını kırıyor; rakamlar güncel yıl ve satın alma gücüyle yenilenmeli.,Kaynak kontrolü şart
673,1341,Başarının yeni tanımı,Sağlık,Sağlık,Uyku Devrimi,Arianna Huffington,1,Temel,10,6,9,11,8,6,13,3,66,Düşük öncelik,Carousel,Başarıyı refahla genişletmek anlamlı; dingil-tabure metaforu karışıyor ve maddeler anlatıdan çok liste kalıyor.,Kaynak kontrolü şart
674,1416,Zemin yasası — güven liderliğin temelidir,Liderlik,Liderlik,Liderlik 21 Yasası,John C. Maxwell,1,Temel,10,6,9,11,8,6,13,3,66,Düşük öncelik,Carousel,Karakter-zemin metaforu anlaşılır ama klişe; somut çöküş örneği yok ve metinde dil hataları bulunuyor.,Kaynak kontrolü şart
675,1199,Hemingway'in sabah ritmi,Verimlilik,Verimlilik,Saatlerin Efendisi,Daniel Pink,1,Temel,12,6,8,12,8,6,13,1,66,Düşük öncelik,Carousel,"Hemingway ritmi görsel ve uygulanabilir; sabah analiz, öğleden sonra yaratıcılık genellemesi güven zedeliyor.",Kaynak kontrolü şart
676,1310,Geri bildirim döngüleri ve kendi kendini besleyen kısır döngüler,Felsefe,Düşünme,Thinking in Systems,Donella Meadows,1,Temel,10,5,9,13,8,5,12,4,66,Düşük öncelik,Carousel,Geri bildirim döngüleri faydalı bir düşünme aracı; insan sahnesi ve şaşırtıcı dönüş olmadığı için video enerjisi düşük.,Kaynak kontrolü önerilir
